#{'API version': '0.1.2', 'Channels': [1, 2, 3, 4, 5, 6], 'Channels indexes mV': [6, 8, 10, 12, 14, 16], 'Channels indexes raw': [5, 7, 9, 11, 13, 15], 'Channels labels': ['AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'Device': 'COM14', 'Firmware version': '1.0', 'Header': ['NSeq', 'I1', 'I2', 'O1', 'O2', 'AI1_raw', 'AI1_mv', 'AI2_raw', 'AI2_mv', 'AI3_raw', 'AI3_mv', 'AI4_raw', 'AI4_mv', 'AI5_raw', 'AI5_mv', 'AI6_raw', 'AI6_mv'], 'ISO 8601': '2022-05-11T16:10:57.031185', 'Resolution (bits)': [4, 1, 1, 1, 1, 12, 12, 12, 12, 12, 12], 'Sampling rate (Hz)': 1000, 'Timestamp': 1652281857.031185}
#NSeq	I1	I2	O1	O2	AI1_raw	AI1_mv	AI2_raw	AI2_mv	AI3_raw	AI3_mv	AI4_raw	AI4_mv	AI5_raw	AI5_mv	AI6_raw	AI6_mv
15	0	0	0	0	1472	1454	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1470	1454	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1469	1451	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1466	1451	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1461	1444	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1456	1441	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1450	1437	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1443	1430	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1436	1424	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1431	1420	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1427	1417	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1425	1417	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1424	1417	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1425	1417	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1425	1417	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1428	1417	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1431	1420	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1437	1427	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1443	1430	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1446	1434	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1452	1437	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1455	1441	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1456	1441	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1455	1441	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1454	1441	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1449	1437	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1446	1434	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1444	1430	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1439	1427	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1435	1424	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1435	1424	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1437	1427	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1438	1427	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1439	1427	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1442	1430	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1450	1437	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1456	1441	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1461	1444	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1470	1454	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1472	1454	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1473	1454	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1474	1454	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1472	1454	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1470	1454	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1465	1447	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1459	1444	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1454	1441	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1451	1437	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1447	1434	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1446	1434	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1446	1434	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1453	1437	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1457	1441	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1467	1451	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1477	1458	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1488	1468	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1504	1481	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1518	1492	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1526	1498	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1543	1512	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1549	1515	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1552	1519	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1552	1519	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1552	1519	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1549	1515	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1541	1512	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1529	1502	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1522	1495	0	254	0	254	0	254	0	254	0	254
3	0	0	0	0	1520	1495	0	254	0	254	0	254	0	254	0	254
4	0	0	0	0	1512	1488	0	254	0	254	0	254	0	254	0	254
5	0	0	0	0	1513	1488	0	254	0	254	0	254	0	254	0	254
6	0	0	0	0	1509	1485	0	254	0	254	0	254	0	254	0	254
7	0	0	0	0	1509	1485	0	254	0	254	0	254	0	254	0	254
8	0	0	0	0	1514	1488	0	254	0	254	0	254	0	254	0	254
9	0	0	0	0	1520	1495	0	254	0	254	0	254	0	254	0	254
10	0	0	0	0	1523	1495	0	254	0	254	0	254	0	254	0	254
11	0	0	0	0	1535	1505	0	254	0	254	0	254	0	254	0	254
12	0	0	0	0	1548	1515	0	254	0	254	0	254	0	254	0	254
13	0	0	0	0	1555	1522	0	254	0	254	0	254	0	254	0	254
14	0	0	0	0	1566	1532	0	254	0	254	0	254	0	254	0	254
15	0	0	0	0	1574	1536	0	254	0	254	0	254	0	254	0	254
0	0	0	0	0	1579	1543	0	254	0	254	0	254	0	254	0	254
1	0	0	0	0	1583	1546	0	254	0	254	0	254	0	254	0	254
2	0	0	0	0	1585	1546	0	254	0	254	0	254	0	254	0	254
